rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,parent_theme,homepage,github_url,github_repo_type,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_severity,latest_vuln_date,top_cwes,tags
20,PopularFX,popularfx,100000,92,4.6,Classic,2025-08-13,,https://wordpress.org/themes/popularfx/,,,https://wordpress.org/themes/popularfx/,1,0,4.3,Medium,2024-04-15,CWE-352,"Blog, Custom background, Custom logo, Custom menu, E-commerce, Entertainment, Featured images, Full width template, Left sidebar, Microformats, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
21,Kubio,kubio,40000,86,4.3,Classic,2025-11-26,,https://wordpress.org/themes/kubio/,https://github.com/extendthemes/kubio,official,https://wordpress.org/themes/kubio/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
22,Envo One,envo-one,20000,100,5.0,Gutenberg-compatible,2025-08-18,,https://wordpress.org/themes/envo-one/,,,https://wordpress.org/themes/envo-one/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, One column, RTL language support, Right sidebar, Threaded comments, Translation ready, Two columns"
23,Envo Royal,envo-royal,20000,74,3.7,Gutenberg-compatible,2026-01-23,,https://wordpress.org/themes/envo-royal/,,,https://wordpress.org/themes/envo-royal/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, One column, RTL language support, Right sidebar, Threaded comments, Translation ready, Two columns"
24,YITH Wonder,yith-wonder,50000,80,4.0,FSE,2025-04-09,,https://wordpress.org/themes/yith-wonder/,https://github.com/newfold-labs/yith-wonder,official,https://wordpress.org/themes/yith-wonder/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Portfolio, Sticky post, Template editing, Theme options, Threaded comments, Translation ready, Wide blocks"
25,Twenty Nineteen,twentynineteen,100000,74,3.7,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentynineteen/,https://github.com/WordPress/twentynineteen,official,https://wordpress.org/themes/twentynineteen/,0,0,,,,,"Accessibility ready, Block editor patterns, Custom colors, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, One column, RTL language support, Sticky post, Threaded comments, Translation ready"
26,Inspiro,inspiro,70000,94,4.7,Gutenberg-ready,2026-02-28,,https://wordpress.org/themes/inspiro/,,,https://wordpress.org/themes/inspiro/,2,0,,,2022-08-08,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
27,Futurio Storefront,futurio-storefront,10000,0,0.0,Gutenberg-compatible,2026-01-30,,https://wordpress.org/themes/futurio-storefront/,,,https://wordpress.org/themes/futurio-storefront/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Left sidebar, One column, RTL language support, Right sidebar, Threaded comments, Translation ready, Two columns"
28,Twenty Sixteen,twentysixteen,100000,82,4.1,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentysixteen/,https://github.com/WordPress/twentysixteen,official,https://wordpress.org/themes/twentysixteen/,0,0,,,,,"Accessibility ready, Block editor patterns, Blog, Custom background, Custom colors, Custom header, Custom menu, Editor style, Featured images, Flexible header, Microformats, One column, Post formats, RTL language support, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
29,Lightning,lightning,100000,96,4.8,Gutenberg-ready,2026-03-20,,https://wordpress.org/themes/lightning/,,,https://wordpress.org/themes/lightning/,1,0,4.3,Medium,2024-04-10,CWE-352,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Editor style, Featured images, Footer widgets, Full width template, One column, Sticky post, Theme options, Threaded comments, Translation ready, Wide blocks"
30,Hestia,hestia,80000,96,4.8,Gutenberg-ready,2025-09-04,,https://wordpress.org/themes/hestia/,,,https://wordpress.org/themes/hestia/,2,0,5.3,Medium,2025-07-16,CWE-352; CWE-862,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
31,BlogHash,bloghash,10000,100,5.0,Gutenberg-ready,2026-02-25,,https://wordpress.org/themes/bloghash/,,,https://wordpress.org/themes/bloghash/,0,0,,,,,"Blog, Custom background, Custom colors, Custom logo, Custom menu, Editor style, Entertainment, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, Microformats, News, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
32,Go,go,50000,94,4.7,Gutenberg-ready,2025-09-22,,https://wordpress.org/themes/go/,https://github.com/godaddy-wordpress/go,official,https://wordpress.org/themes/go/,0,0,,,,,"Block editor styles, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, One column, Theme options, Threaded comments, Translation ready, Wide blocks"
33,Storefront,storefront,100000,90,4.5,Gutenberg-compatible,2025-12-09,,https://wordpress.org/themes/storefront/,,,https://wordpress.org/themes/storefront/,0,0,,,,,"Accessibility ready, Custom background, Custom colors, Custom header, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Left sidebar, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
34,Sydney,sydney,90000,98,4.9,Gutenberg-ready,2026-03-10,,https://wordpress.org/themes/sydney/,,,https://wordpress.org/themes/sydney/,1,0,,,2025-09-17,,"Block editor styles, Custom background, Custom colors, Custom header, Custom menu, Featured images, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
35,Colibri WP,colibri-wp,50000,96,4.8,Classic,2025-11-25,,https://wordpress.org/themes/colibri-wp/,https://github.com/ExtendStudio/colibri-wp,official,https://wordpress.org/themes/colibri-wp/,2,0,4.3,Medium,2024-04-29,CWE-352; CWE-862,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
36,Blogsy,blogsy,1000,0,0.0,Gutenberg-ready,2026-03-21,,https://wordpress.org/themes/blogsy/,,,https://wordpress.org/themes/blogsy/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns, Wide blocks"
37,News Magazine X,news-magazine-x,8000,100,5.0,Gutenberg-ready,2026-03-12,,https://wordpress.org/themes/news-magazine-x/,,,https://wordpress.org/themes/news-magazine-x/,1,1,,,2025-07-28,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom menu, E-commerce, Entertainment, Featured images, Flexible header, Footer widgets, Grid layout, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
38,Silverstorm,silverstorm,8000,0,0.0,Classic,2025-11-25,,https://wordpress.org/themes/silverstorm/,,,https://wordpress.org/themes/silverstorm/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
39,Variations,variations,10000,100,5.0,FSE,2026-01-14,,https://wordpress.org/themes/variations/,,,https://wordpress.org/themes/variations/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Custom colors, Custom logo, Custom menu, Editor style, Featured images, One column, Sticky post, Wide blocks"
40,Rufous,rufous,10000,46,2.3,Classic,2025-11-26,,https://wordpress.org/themes/rufous/,,,https://wordpress.org/themes/rufous/,0,0,,,,,"Custom header, Custom logo, Custom menu, Entertainment, Featured images, Food & drink, Full width template, Grid layout, One column, Portfolio, Theme options, Threaded comments, Translation ready, Two columns"
41,Woostify,woostify,40000,98,4.9,Classic,2026-03-23,,https://wordpress.org/themes/woostify/,https://github.com/woostify/woostify,official,https://wordpress.org/themes/woostify/,3,1,,,2025-09-26,,"Custom background, Custom colors, Custom header, Custom menu, E-commerce, Featured images, Footer widgets, Full width template, Left sidebar, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Two columns"
42,OnePress,onepress,60000,92,4.6,Classic,2025-11-24,,https://wordpress.org/themes/onepress/,https://github.com/FameThemes/onepress,official,https://wordpress.org/themes/onepress/,3,2,6.5,Medium,2025-02-04,CWE-352; CWE-79; CWE-862,"Blog, Custom menu, E-commerce, Featured images, Full width template, Left sidebar, One column, Portfolio, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
43,NewsBlogger,newsblogger,10000,100,5.0,Classic,2026-01-15,newscrunch,https://wordpress.org/themes/newsblogger/,,,https://wordpress.org/themes/newsblogger/,3,1,,,2026-02-19,,"Blog, Custom background, Custom logo, Custom menu, Featured images, Footer widgets, Full width template, Grid layout, News, One column, Photography, RTL language support, Right sidebar, Sticky post, Threaded comments, Translation ready, Two columns"
44,Twenty Fifteen,twentyfifteen,70000,88,4.4,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentyfifteen/,,,https://wordpress.org/themes/twentyfifteen/,2,0,,,2015-06-17,,"Accessibility ready, Block editor patterns, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured images, Left sidebar, Microformats, Post formats, RTL language support, Sticky post, Threaded comments, Translation ready, Two columns"
45,Popularis eCommerce,popularis-ecommerce,9000,0,0.0,Gutenberg-compatible,2025-04-25,,https://wordpress.org/themes/popularis-ecommerce/,,,https://wordpress.org/themes/popularis-ecommerce/,0,0,,,,,"Blog, Custom background, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Footer widgets, Full width template, One column, Right sidebar, Threaded comments, Translation ready, Two columns"
46,Newstack,newstack,1000,0,0.0,Gutenberg-ready,2026-01-02,newsup,https://wordpress.org/themes/newstack/,,,https://wordpress.org/themes/newstack/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
47,HybridMag,hybridmag,6000,100,5.0,Classic,2026-02-10,,https://wordpress.org/themes/hybridmag/,,,https://wordpress.org/themes/hybridmag/,0,0,,,,,"Blog, Custom logo, Custom menu, E-commerce, Featured images, Footer widgets, Grid layout, News, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
48,Blogtimes,blogtimes,600,0,0.0,Gutenberg-ready,2026-02-09,blogus,https://wordpress.org/themes/blogtimes/,,,https://wordpress.org/themes/blogtimes/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
49,Zakra,zakra,30000,98,4.9,Classic,2025-11-10,,https://wordpress.org/themes/zakra/,,,https://wordpress.org/themes/zakra/,1,0,,,2025-08-05,,"Blog, Custom background, Custom colors, Custom logo, E-commerce, Featured images, Footer widgets, Full width template, Left sidebar, News, One column, RTL language support, Right sidebar, Theme options, Threaded comments, Translation ready, Two columns"
50,Prespa SaaS,prespa-saas,500,0,0.0,Gutenberg-ready,2026-02-21,prespa,https://wordpress.org/themes/prespa-saas/,,,https://wordpress.org/themes/prespa-saas/,0,0,,,,,"Block editor patterns, Custom colors, Custom header, Custom logo, Custom menu, Education, Featured image header, Featured images, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
51,NewsCom,newscom,400,0,0.0,Gutenberg-ready,2026-03-20,reviewnews,https://wordpress.org/themes/newscom/,,,https://wordpress.org/themes/newscom/,0,0,,,,,"Block editor patterns, Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
52,ConsultingGrove Dark,consultinggrove-dark,300,0,0.0,FSE,2026-03-01,consultinggrove,https://wordpress.org/themes/consultinggrove-dark/,,,https://wordpress.org/themes/consultinggrove-dark/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Featured images, News, One column, Portfolio, RTL language support, Sticky post, Threaded comments, Translation ready, Wide blocks"
53,Twenty Eleven,twentyeleven,70000,92,4.6,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentyeleven/,,,https://wordpress.org/themes/twentyeleven/,0,0,,,,,"Block editor patterns, Blog, Custom background, Custom colors, Custom header, Custom menu, Editor style, Featured image header, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, Microformats, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Translation ready, Two columns"
54,NewsTwenty,newstwenty,300,0,0.0,Gutenberg-ready,2026-02-26,newsup,https://wordpress.org/themes/newstwenty/,,,https://wordpress.org/themes/newstwenty/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
55,Newsmatic,newsmatic,10000,96,4.8,Gutenberg-ready,2026-03-15,,https://wordpress.org/themes/newsmatic/,,,https://wordpress.org/themes/newsmatic/,2,0,5.3,Medium,2024-11-01,CWE-862,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
56,Lifestyle Stories,lifestyle-stories,300,0,0.0,FSE,2026-02-25,simple-nova,https://wordpress.org/themes/lifestyle-stories/,,,https://wordpress.org/themes/lifestyle-stories/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, Editor style, Featured image header, Featured images, Footer widgets, Full width template, News, One column, Portfolio, Sticky post, Style variations, Template editing, Threaded comments, Translation ready, Two columns, Wide blocks"
57,Gym Training Center,gym-training-center,300,0,0.0,FSE,2026-03-16,,https://wordpress.org/themes/gym-training-center/,,,https://wordpress.org/themes/gym-training-center/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Editor style, Featured images, Flexible header, Footer widgets, News, One column, Photography, RTL language support, Sticky post, Style variations, Threaded comments, Translation ready, Wide blocks"
58,Customify,customify,30000,94,4.7,Classic,2025-11-17,,https://wordpress.org/themes/customify/,,,https://wordpress.org/themes/customify/,1,1,5.4,Medium,2025-05-19,CWE-862,"Blog, Custom background, Custom logo, Custom menu, E-commerce, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, One column, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
59,Phlox,phlox,40000,96,4.8,Gutenberg-compatible,2026-02-07,,https://wordpress.org/themes/phlox/,https://github.com/bloodworks-io/phlox,official,https://wordpress.org/themes/phlox/,0,0,,,,,"Custom colors, Custom logo, Custom menu, E-commerce, Editor style, Featured image header, Featured images, Food & drink, Footer widgets, Four columns, Full width template, Grid layout, Left sidebar, One column, Portfolio, Post formats, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
60,Online Courses FSE,online-courses-fse,700,0,0.0,FSE,2026-01-27,,https://wordpress.org/themes/online-courses-fse/,,,https://wordpress.org/themes/online-courses-fse/,0,0,,,,,"Block editor patterns, Block editor styles, Block themes, Blog, Custom colors, Custom logo, Custom menu, Editor style, Education, Featured images, Flexible header, One column, Portfolio, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
61,Twenty Fourteen,twentyfourteen,50000,88,4.4,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentyfourteen/,https://github.com/jaden/twentyfourteen,official,https://wordpress.org/themes/twentyfourteen/,0,0,,,,,"Accessibility ready, Block editor patterns, Blog, Custom background, Custom header, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, Microformats, News, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Three columns, Translation ready, Two columns"
62,Ogma Blogster,ogma-blogster,200,20,1.0,Gutenberg-ready,2026-03-05,ogma-blog,https://wordpress.org/themes/ogma-blogster/,,,https://wordpress.org/themes/ogma-blogster/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom logo, Custom menu, Featured images, Flexible header, Footer widgets, Full width template, Left sidebar, News, One column, Portfolio, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns, Wide blocks"
63,Twenty Twelve,twentytwelve,50000,92,4.6,Gutenberg-ready,2025-12-03,,https://wordpress.org/themes/twentytwelve/,https://github.com/thethemefoundry/twentytwelve,official,https://wordpress.org/themes/twentytwelve/,0,0,,,,,"Block editor patterns, Blog, Custom background, Custom header, Custom menu, Editor style, Featured images, Flexible header, Footer widgets, Full width template, Microformats, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Translation ready, Two columns"
64,Ashe,ashe,30000,98,4.9,Classic,2026-03-12,,https://wordpress.org/themes/ashe/,,,https://wordpress.org/themes/ashe/,2,0,6.1,Medium,2025-01-02,CWE-352; CWE-79,"Blog, Custom background, Custom colors, Custom header, Custom logo, Custom menu, E-commerce, Featured images, Flexible header, Food & drink, Footer widgets, Full width template, Left sidebar, One column, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
65,One Newspaper,one-newspaper,500,0,0.0,Gutenberg-ready,2026-02-25,,https://wordpress.org/themes/one-newspaper/,,,https://wordpress.org/themes/one-newspaper/,0,0,,,,,"Block editor styles, Blog, Custom background, Custom colors, Custom header, Custom menu, Entertainment, Featured images, Flexible header, Footer widgets, Full width template, Grid layout, Left sidebar, News, One column, Post formats, RTL language support, Right sidebar, Sticky post, Theme options, Threaded comments, Translation ready, Two columns"
66,NewsMemo,newsmemo,600,0,0.0,Classic,2026-03-25,newsmunch,https://wordpress.org/themes/newsmemo/,,,https://wordpress.org/themes/newsmemo/,0,0,,,,,"Blog, Custom background, Custom header, Custom logo, Custom menu, E-commerce, Entertainment, Featured image header, Featured images, Flexible header, Footer widgets, Grid layout, Left sidebar, One column, Post formats, RTL language support, Right sidebar, Theme options, Threaded comments, Three columns, Translation ready, Two columns"
67,Hello Commerce,hello-commerce,2000,0,0.0,Gutenberg-ready,2025-08-07,,https://wordpress.org/themes/hello-commerce/,,,https://wordpress.org/themes/hello-commerce/,0,0,,,,,"Custom colors, Custom logo, Custom menu, Featured images, Flexible header, RTL language support, Style variations, Threaded comments, Translation ready"
