repo_type,catalog_tier,rank,name,slug,active_installs,rating_pct,rating_5star,editor_support,last_updated,homepage,github_url,wp_url,total_known_vulns,unpatched_vulns,max_cvss,max_cvss_vuln,max_cvss_severity,vuln_types,top_cwes,latest_vuln_date,sample_vuln_titles,tags,download_url,requires_wp,tested_up_to,github_repo_type,num_ratings,parent_theme
plugin,top,11,"Wordfence Security – Firewall, Malware Scan, and Login Security",wordfence,5000000,94,4.7,Editor-agnostic,2025-12-20 9:06pm GMT,https://www.wordfence.com/,https://github.com/wp-plugins/wordfence,https://wordpress.org/plugins/wordfence/,34,0,4.4,,Medium,,CWE-79,2022-09-23,,"2FA, firewall, malware, scanner, security",,4.7,6.9.4,mirror,,
plugin,top,12,WP Mail SMTP by WPForms – The Most Popular SMTP and Email Log Plugin,wp-mail-smtp,4000000,96,4.8,Editor-agnostic,2025-11-26 3:18pm GMT,https://wpmailsmtp.com/,https://github.com/awesomemotive/wp-mail-smtp,https://wordpress.org/plugins/wp-mail-smtp/,4,0,2.7,,Low,,CWE-257,2024-07-22,,"email, email logs, gmail, outlook, smtp",,5.5,6.9.4,official,,
plugin,top,13,Yoast Duplicate Post,duplicate-post,4000000,94,4.7,Editor-agnostic,2026-03-09 10:34am GMT,https://yoast.com/wordpress/plugins/duplicate-post/,https://github.com/Yoast/duplicate-post,https://wordpress.org/plugins/duplicate-post/,8,1,6.4,,Medium,,CWE-79; CWE-89,2026-02-11,,"clone, copy, duplicate post",,6.8,6.9.4,official,,
plugin,top,14,Really Simple Security – Simple and Performant Security (formerly Really Simple SSL),really-simple-ssl,3000000,98,4.9,Editor-agnostic,2026-02-26 10:57am GMT,https://really-simple-ssl.com,https://github.com/Really-Simple-Plugins/really-simple-ssl,https://wordpress.org/plugins/really-simple-ssl/,3,0,9.8,,Critical,,CWE-288; CWE-352; CWE-918,2025-01-24,,"2FA, https, security, two factor, vulnerabilities",,6.6,6.9.4,official,,
plugin,top,15,Rank Math SEO – AI SEO Tools to Dominate SEO Rankings,seo-by-rank-math,3000000,96,4.8,Blocks+Classic,2026-03-19 10:39am GMT,https://rankmath.com/,https://github.com/rankmath/seo-by-rank-math,https://wordpress.org/plugins/seo-by-rank-math/,26,2,7.6,,High,,CWE-20; CWE-22; CWE-284; CWE-502; CWE-601; CWE-79; CWE-862; CWE-918; CWE-94,2025-10-31,,"google search console, redirection, schema, seo, wordpress seo",,6.3,6.9.4,official,,
plugin,top,16,Duplicate Page,duplicate-page,3000000,96,4.8,Editor-agnostic,2026-03-19 10:33am GMT,https://duplicatepro.com/,https://github.com/RoJackal/duplicate-page,https://wordpress.org/plugins/duplicate-page/,5,0,,,,,CWE-79,2021-10-11,,"Page Duplicate, Post duplicate, duplicate custom posts, duplicate page, duplicate post",,3.4,6.9.4,official,,
plugin,top,17,UpdraftPlus: WP Backup & Migration Plugin,updraftplus,3000000,96,4.8,Editor-agnostic,2026-03-25 10:43am GMT,https://updraftplus.com,https://github.com/DavidAnderson684/updraftplus-aws-sdk,https://wordpress.org/plugins/updraftplus/,26,0,8.8,,High,,CWE-352; CWE-502; CWE-79; CWE-863; CWE-918; CWE-94,2025-01-15,,"backup, cloud backup, database backup, migration, wordpress backup",,3.2,7.0,official,,
plugin,top,18,"Jetpack – WP Security, Backup, Speed, & Growth",jetpack,3000000,76,3.8,Blocks+Classic,2026-03-03 9:54am GMT,https://jetpack.com,https://github.com/Automattic/jetpack,https://wordpress.org/plugins/jetpack/,45,1,6.5,,Medium,,CWE-1021; CWE-20; CWE-639; CWE-79; CWE-862; CWE-863; CWE-89,2026-01-13,,"backup, malware, performance, scan, security",,6.8,6.9.4,official,,
plugin,top,19,All in One SEO – Powerful SEO Plugin to Boost SEO Rankings & Increase Traffic,all-in-one-seo-pack,3000000,94,4.7,Blocks+Classic,2026-03-09 6:19pm GMT,https://aioseo.com/,https://github.com/awesomemotive/all-in-one-seo-pack,https://wordpress.org/plugins/all-in-one-seo-pack/,36,2,6.4,,Medium,,CWE-200; CWE-287; CWE-352; CWE-502; CWE-79; CWE-80; CWE-862; CWE-89,2026-01-16,,"google search console, meta description, schema, seo, xml sitemap",,5.7,6.9.4,official,,
plugin,"poor,top",20,Hostinger Tools,hostinger,3000000,60,3.0,Editor-agnostic,2026-03-20 8:35am GMT,https://hostinger.com,,https://wordpress.org/plugins/hostinger/,1,0,7.3,,High,,CWE-862,2024-01-11,,"hostinger, https, maintenance, security, tools",,5.5,6.9.4,,26,
plugin,top,21,WPCode – Insert Headers and Footers + Custom Code Snippets – WordPress Code Manager,insert-headers-and-footers,3000000,98,4.9,Editor-agnostic,2026-03-17 12:35pm GMT,https://www.wpcode.com/,https://github.com/awesomemotive/insert-headers-and-footers,https://wordpress.org/plugins/insert-headers-and-footers/,3,0,,,,,CWE-352; CWE-79; CWE-863,2023-08-07,,"code, code-snippets, css, header, php",,5.0,6.9.4,official,,
plugin,top,22,WordPress Importer,wordpress-importer,2000000,62,3.1,Editor-agnostic,2025-11-05 10:53pm GMT,https://wordpress.org/plugins/wordpress-importer/,https://github.com/WordPress/wordpress-importer,https://wordpress.org/plugins/wordpress-importer/,1,0,7.2,,High,,CWE-502,2025-03-26,,importer,,5.2,6.8.5,official,,
plugin,top,23,Redirection,redirection,2000000,88,4.4,Editor-agnostic,2026-03-01 7:42am GMT,https://redirection.me/,https://github.com/johngodley/redirection,https://wordpress.org/plugins/redirection/,12,0,,,,,CWE-601; CWE-79,2019-08-28,,"301, 404, Apache, htaccess, redirect",,6.5,6.9.4,official,,
plugin,top,24,MonsterInsights – Google Analytics Dashboard for WordPress (Website Stats Made Easy),google-analytics-for-wordpress,2000000,92,4.6,Editor-agnostic,2026-03-25 3:27pm GMT,https://www.monsterinsights.com/?utm_source=liteplugin&utm_medium=pluginheader&utm_campaign=pluginurl&utm_content=7%2E0%2E0,https://github.com/envato/google-analytics-for-wordpress,https://wordpress.org/plugins/google-analytics-for-wordpress/,16,0,6.5,,Medium,,CWE-79; CWE-862,2024-04-25,,"WordPress analytics, analytics, google analytics, google analytics dashboard, website analytics",,5.6.0,6.9.4,official,,
plugin,top,25,Classic Widgets,classic-widgets,2000000,98,4.9,Classic-only,2025-12-08 10:52am GMT,https://wordpress.org/plugins/classic-widgets/,https://github.com/WordPress/classic-widgets,https://wordpress.org/plugins/classic-widgets/,0,0,,,,,,,,"classic widgets, disable, disable gutenberg, editor, gutenberg",,4.9,6.9.4,official,,
plugin,top,26,Ultimate Addons for Elementor,header-footer-elementor,2000000,98,4.9,Editor-agnostic,2026-03-11 9:13am GMT,https://wordpress.org/plugins/header-footer-elementor/,https://github.com/brainstormforce/header-footer-elementor,https://wordpress.org/plugins/header-footer-elementor/,13,0,6.5,,Medium,,CWE-200; CWE-79; CWE-80; CWE-862; CWE-87,2025-10-03,,"elementor, elementor addons, elementor template, elementor widgets, header footer builder",,5.0,6.9.4,official,,
plugin,top,27,Advanced Custom Fields (ACF®),advanced-custom-fields,2000000,90,4.5,Editor-agnostic,2026-03-03 6:16pm GMT,https://www.advancedcustomfields.com,https://github.com/AdvancedCustomFields/acf,https://wordpress.org/plugins/advanced-custom-fields/,36,0,7.1,,High,,CWE-200; CWE-284; CWE-434; CWE-502; CWE-79; CWE-862; CWE-94; CWE-98,2025-10-03,,"acf, custom fields, fields, meta, repeater",,6.2,6.9.4,official,,
plugin,top,28,WPS Hide Login,wps-hide-login,2000000,96,4.8,Editor-agnostic,2026-01-12 8:47am GMT,,https://github.com/wp-plugins/wps-hide-login,https://wordpress.org/plugins/wps-hide-login/,16,0,5.3,,Medium,,CWE-200; CWE-287; CWE-352; CWE-863,2024-07-15,,"custom login url, login, rename, wp login, wp-login.php",,4.1,6.9.4,mirror,,
plugin,top,29,Essential Addons for Elementor – Popular Elementor Templates & Widgets,essential-addons-for-elementor-lite,2000000,98,4.9,Editor-agnostic,2026-03-08 6:44am GMT,https://essential-addons.com/,https://github.com/WPDevelopers/essential-addons-for-elementor-lite,https://wordpress.org/plugins/essential-addons-for-elementor-lite/,59,3,9.8,,Critical,,CWE-20; CWE-200; CWE-22; CWE-269; CWE-287; CWE-497; CWE-502; CWE-79; CWE-80; CWE-862,2026-02-19,,"elementor, elementor addons, elementor templates, elementor widgets, elementor woocommerce",,5.0,6.9.4,official,,
plugin,top,30,Advanced Editor Tools,tinymce-advanced,2000000,90,4.5,Blocks+Classic,2025-12-08 3:02pm GMT,https://wordpress.org/plugins/tinymce-advanced/,https://github.com/wp-plugins/tinymce-advanced,https://wordpress.org/plugins/tinymce-advanced/,3,0,,,,,,2014-09-08,,"block-editor, classic editor, editor, formatting, gutenberg",,5.9,6.9.4,mirror,,
plugin,top,31,Starter Templates – AI-Powered Templates for Elementor & Gutenberg,astra-sites,2000000,98,4.9,Blocks+Classic,2026-03-19 5:19am GMT,https://wpastra.com/,https://github.com/rumi55/astra-sites,https://wordpress.org/plugins/astra-sites/,10,0,8.8,,High,,CWE-284; CWE-352; CWE-434; CWE-79; CWE-862; CWE-918; CWE-99,2025-12-06,,"Astra Starter Sites, block-editor, elementor, gutenberg, templates",,6.6,6.9.4,official,,
plugin,top,32,"Limit Login Attempts Reloaded – Login Security, 2FA, Brute Force Protection & Firewall",limit-login-attempts-reloaded,2000000,98,4.9,Editor-agnostic,2026-03-25 10:21am GMT,,https://github.com/WPChef/limit-login-attempts-reloaded,https://wordpress.org/plugins/limit-login-attempts-reloaded/,6,0,6.4,,Medium,,CWE-307; CWE-79; CWE-862,2024-12-21,,"2FA, Brute Force, firewall, login security, security",,3.0,6.9.4,official,,
plugin,top,33,ElementsKit Elementor Addons – Advanced Widgets & Templates Addons for Elementor,elementskit-lite,2000000,98,4.9,Editor-agnostic,2026-03-15 4:35am GMT,https://wpmet.com/plugin/elementskit/,https://github.com/wp-plugins-kanshi/elementskit-lite,https://wordpress.org/plugins/elementskit-lite/,23,0,10.0,,Critical,,CWE-200; CWE-284; CWE-306; CWE-79; CWE-80; CWE-862; CWE-98,2026-02-23,,"elementor addon, elementor addons, elementor widgets, header footer builder, mega menu builder",,6.0,7.0,mirror,,
plugin,top,34,MC4WP: Mailchimp for WordPress,mailchimp-for-wp,1000000,96,4.8,Editor-agnostic,2026-03-09 8:01am GMT,https://www.mc4wp.com/#utm_source=wp-plugin&utm_medium=mailchimp-for-wp&utm_campaign=plugins-page,https://github.com/ibericode/mailchimp-for-wordpress,https://wordpress.org/plugins/mailchimp-for-wp/,17,0,6.1,,Medium,,CWE-79; CWE-80; CWE-862,2024-12-27,,"email, form, mailchimp, newsletter, subscribe",,4.6,6.9.4,official,,
plugin,top,35,Loco Translate,loco-translate,1000000,96,4.8,Editor-agnostic,2026-03-14 11:53am GMT,https://wordpress.org/plugins/loco-translate/,https://github.com/wp-plugins/loco-translate,https://wordpress.org/plugins/loco-translate/,4,0,4.3,,Medium,,CWE-352; CWE-79; CWE-94,2025-01-02,,"i18n, l10n, language, multilingual, translation",,6.6,6.9.4,mirror,,
plugin,top,36,Disable Comments – Remove Comments & Stop Spam [Multi-Site Support],disable-comments,1000000,94,4.7,Editor-agnostic,2026-01-20 8:14am GMT,https://wordpress.org/plugins/disable-comments/,https://github.com/WPDevelopers/disable-comments,https://wordpress.org/plugins/disable-comments/,1,0,,,,,CWE-352,2018-03-19,,"delete comments, disable comments, remove comments, spam protection, stop spam",,5.0,6.9.4,official,,
plugin,top,37,WP Super Cache,wp-super-cache,1000000,86,4.3,Editor-agnostic,2025-11-11 4:21pm GMT,https://wordpress.org/plugins/wp-super-cache/,https://github.com/Automattic/wp-super-cache,https://wordpress.org/plugins/wp-super-cache/,22,0,,,,,CWE-116; CWE-79; CWE-94,2022-10-03,,"WP Cache, WP Super Cache, cache, caching, performance",,6.7,6.9.4,official,,
plugin,top,38,"Duplicator – Backups & Migration Plugin – Cloud Backups, Scheduled Backups, & More",duplicator,1000000,98,4.9,Editor-agnostic,2026-03-18 5:18pm GMT,https://duplicator.com/,,https://wordpress.org/plugins/duplicator/,25,0,6.5,,Medium,,CWE-200; CWE-22; CWE-306; CWE-352; CWE-425; CWE-79; CWE-862; CWE-94,2024-12-27,,"backup, cloud backup, database backup, migration, wordpress backup",,5.3,6.9.4,,,
plugin,top,39,CookieYes – Cookie Banner for Cookie Consent (Easy to setup GDPR/CCPA Compliant Cookie Notice),cookie-law-info,1000000,96,4.8,Editor-agnostic,2026-01-29 1:15pm GMT,https://www.cookieyes.com/,https://github.com/cookieyeshq/cookie-law-info,https://wordpress.org/plugins/cookie-law-info/,2,0,,,,,CWE-79,2020-08-21,,"GDPR, cookie, cookie banner, cookie consent, cookie notice",,5.0.0,6.9.4,official,,
plugin,top,40,Loginizer,loginizer,1000000,96,4.8,Editor-agnostic,2026-03-02 12:38pm GMT,https://wordpress.org/extend/plugins/loginizer/,,https://wordpress.org/plugins/loginizer/,11,0,8.1,,High,,CWE-287; CWE-352; CWE-79; CWE-89,2024-11-05,,"Loginizer, access, admin, login, security",,3.0,6.9.4,,,
plugin,top,41,Better Search Replace,better-search-replace,1000000,86,4.3,Editor-agnostic,2025-12-08 5:21pm GMT,https://bettersearchreplace.com,https://github.com/deliciousbrains/better-search-replace,https://wordpress.org/plugins/better-search-replace/,2,0,9.8,,Critical,,CWE-502; CWE-89,2024-02-05,,"search and replace, search replace, search replace database, update database urls, update live url",,3.0.1,6.9.4,official,,
plugin,top,42,File Manager,wp-file-manager,1000000,94,4.7,Editor-agnostic,2026-03-24 10:48am GMT,https://filemanagerpro.io/,,https://wordpress.org/plugins/wp-file-manager/,17,1,10.0,,Critical,,CWE-23; CWE-330; CWE-35; CWE-352; CWE-434; CWE-552; CWE-79; CWE-80; CWE-862,2025-07-04,,"elfinder, file manager, ftp, wp file manager, wp-filemanager",,4.0,6.9.4,,,
plugin,top,43,Code Snippets,code-snippets,1000000,94,4.7,Editor-agnostic,2026-02-05 11:03am GMT,https://codesnippets.pro,https://github.com/codesnippetspro/code-snippets,https://wordpress.org/plugins/code-snippets/,9,0,8.0,,High,,CWE-352; CWE-79; CWE-94,2025-11-19,,"code, css, multisite, php, snippets",,5.0,6.9.4,official,,
plugin,top,44,WP Fastest Cache – WordPress Cache Plugin,wp-fastest-cache,1000000,98,4.9,Editor-agnostic,2026-02-10 2:26pm GMT,http://wordpress.org/plugins/wp-fastest-cache/,https://github.com/wp-plugins/wp-fastest-cache,https://wordpress.org/plugins/wp-fastest-cache/,49,0,8.8,,High,,CWE-22; CWE-352; CWE-79; CWE-862; CWE-89; CWE-918,2025-12-12,,"Optimize, cache, core web vitals, pagespeed, performance",,5.3,6.9.4,mirror,,
plugin,top,45,Complianz – GDPR/CCPA Cookie Consent,complianz-gdpr,1000000,96,4.8,Editor-agnostic,2026-03-16 9:11am GMT,https://www.wordpress.org/plugins/complianz-gdpr,https://github.com/complianz/complianz-gdpr,https://wordpress.org/plugins/complianz-gdpr/,11,0,7.1,,High,,CWE-352; CWE-79; CWE-89,2026-02-18,,"GDPR, consent, cookie, cookie notice, privacy",,5.9,6.9.4,official,,
plugin,top,46,Speed Optimizer – The All-In-One Performance-Boosting Plugin,sg-cachepress,1000000,84,4.2,Editor-agnostic,2026-02-16 11:58am GMT,https://siteground.com,https://github.com/Rarst/sg-cachepress,https://wordpress.org/plugins/sg-cachepress/,4,0,9.8,,Critical,,CWE-862,2024-10-16,,"SiteGround, caching, nginx, performance, speed",,4.7,6.9.4,official,,
plugin,top,47,SVG Support,svg-support,1000000,96,4.8,Editor-agnostic,2025-02-25 8:34am GMT,http://wordpress.org/plugins/svg-support/,https://github.com/benbodhi/svg-support,https://wordpress.org/plugins/svg-support/,6,0,6.4,,Medium,,CWE-79,2025-02-21,,"SVG, Vector, mime type, safe svg, sanitization",,5.8,6.7.5,official,,
plugin,top,48,Custom Post Type UI,custom-post-type-ui,1000000,92,4.6,Editor-agnostic,2026-01-08 8:43pm GMT,https://github.com/WebDevStudios/custom-post-type-ui/,https://github.com/WebDevStudios/custom-post-type-ui,https://wordpress.org/plugins/custom-post-type-ui/,7,0,4.8,,Medium,,CWE-352; CWE-79; CWE-862,2025-12-13,,"content types, custom post types, post type, taxonomy, types",,6.6,6.9.4,official,,
plugin,top,49,One Click Demo Import,one-click-demo-import,1000000,86,4.3,Editor-agnostic,2025-09-11 9:36am GMT,https://wordpress.org/plugins/one-click-demo-import/,https://github.com/awesomemotive/one-click-demo-import,https://wordpress.org/plugins/one-click-demo-import/,2,0,4.4,,Medium,,CWE-434; CWE-502,2024-05-09,,"content, import, settings, theme options, widgets",,5.5,6.8.5,official,,
plugin,top,50,Popup Builder & Popup Maker for WordPress – OptinMonster Email Marketing and Lead Generation,optinmonster,1000000,86,4.3,Editor-agnostic,2025-11-19 4:51pm GMT,https://optinmonster.com,https://github.com/WPPlugins/optinmonster,https://wordpress.org/plugins/optinmonster/,8,0,8.2,,High,,CWE-285; CWE-319; CWE-352; CWE-639; CWE-79; CWE-863,2024-05-27,,"Optin, ecommerce, marketing, popup, popups",,5.0,6.8.5,mirror,,
plugin,top,51,"WP-Optimize – Cache, Compress images, Minify & Clean database to boost page speed & performance",wp-optimize,1000000,96,4.8,Editor-agnostic,2026-03-25 10:42am GMT,https://teamupdraft.com/wp-optimize,https://github.com/DavidAnderson684/WP-Optimize,https://wordpress.org/plugins/wp-optimize/,4,0,,,,,CWE-79,2025-06-02,,"cache, caching, image cache, minify, performance cache",,4.9,7.0,official,,
plugin,top,52,Spectra Gutenberg Blocks – Website Builder for the Block Editor,ultimate-addons-for-gutenberg,1000000,94,4.7,Block-only,2026-03-12 11:45am GMT,https://www.brainstormforce.com,https://github.com/brainstormforce/wp-spectra,https://wordpress.org/plugins/ultimate-addons-for-gutenberg/,31,1,7.1,,High,,CWE-22; CWE-307; CWE-74; CWE-79; CWE-80; CWE-862; CWE-918,2026-02-03,,"block, blocks, editor, gutenberg, gutenberg blocks",,5.6,6.9.4,official,,
plugin,top,53,XML Sitemap Generator for Google,google-sitemap-generator,1000000,96,4.8,Editor-agnostic,2026-02-07 4:58am GMT,https://auctollo.com/,https://github.com/Auctollo/google-sitemap-generator,https://wordpress.org/plugins/google-sitemap-generator/,4,1,,,,,CWE-79,2025-12-16,,"html sitemap, news sitemap, seo, video sitemap, xml sitemap",,4.6,6.9.4,official,,
plugin,top,54,ManageWP Worker,worker,1000000,92,4.6,Editor-agnostic,2026-03-18 1:39pm GMT,https://managewp.com,,https://wordpress.org/plugins/worker/,1,0,,,,,,2020-02-11,,"Manage Multiple Sites, backup, migrate, performance, security",,3.1,6.8.5,,,
plugin,top,55,Maintenance,maintenance,1000000,90,4.5,Editor-agnostic,2026-02-05 7:35pm GMT,https://wpmaintenancemode.com/,https://github.com/srobbin/jquery-backstretch,https://wordpress.org/plugins/maintenance/,1,0,,,,,CWE-79,2021-08-23,,"coming soon, coming soon page, maintenance, maintenance mode, maintenance page",,4.0,6.9.4,official,,
plugin,"poor,top",56,Image Optimizer – Optimize Images and Convert to WebP or AVIF,image-optimization,1000000,32,1.6,Editor-agnostic,2026-02-17 1:59pm GMT,https://go.elementor.com/wp-repo-description-tab-io-product-page/,,https://wordpress.org/plugins/image-optimization/,1,1,,,,,,2026-02-19,,"convert AVIF, convert webp, image compression, image optimization, performance",,6.6,6.9.4,,72,
plugin,top,57,Safe SVG,safe-svg,1000000,98,4.9,Editor-agnostic,2026-01-04 9:05pm GMT,https://wordpress.org/plugins/safe-svg/,https://github.com/10up/safe-svg,https://wordpress.org/plugins/safe-svg/,10,0,,,,,CWE-674; CWE-79,2024-11-07,,"SVG, Vector, media, mime, security",,6.6,6.9.4,official,,
plugin,top,58,Smash Balloon Social Photo Feed – Easy Social Feeds Plugin,instagram-feed,1000000,98,4.9,Editor-agnostic,2026-03-12 5:15pm GMT,https://smashballoon.com/instagram-feed,,https://wordpress.org/plugins/instagram-feed/,11,0,,,,,,2025-05-28,,"Instagram, Instagram widget, instagram feed, instagram gallery, instagram photos",,4.1,6.9.4,,,
plugin,top,59,Smush Image Optimization – Optimize Images | Compress & Lazy Load Images | Convert WebP & AVIF | Image CDN,wp-smushit,1000000,96,4.8,Editor-agnostic,2026-02-23 2:47pm GMT,https://wpmudev.com/project/wp-smush-pro/,https://github.com/wp-plugins-kanshi/wp-smushit,https://wordpress.org/plugins/wp-smushit/,9,0,4.3,,Medium,,CWE-22; CWE-79; CWE-862,2025-03-29,,"compress images, convert webp, image optimization, optimize images, webp",,6.4,6.9.4,mirror,,
plugin,top,60,Regenerate Thumbnails,regenerate-thumbnails,1000000,92,4.6,Editor-agnostic,2025-08-20 3:56pm GMT,https://alex.blog/wordpress-plugins/regenerate-thumbnails/,https://github.com/automattic/regenerate-thumbnails,https://wordpress.org/plugins/regenerate-thumbnails/,0,0,,,,,,,,"post thumbnail, post thumbnails, thumbnail, thumbnails",,4.7,6.8.5,official,,
plugin,top,61,EWWW Image Optimizer,ewww-image-optimizer,1000000,96,4.8,Editor-agnostic,2026-02-19 11:22pm GMT,https://wordpress.org/plugins/ewww-image-optimizer/,https://github.com/nosilver4u/ewww-image-optimizer,https://wordpress.org/plugins/ewww-image-optimizer/,11,0,4.3,,Medium,,CWE-200; CWE-352; CWE-79,2024-04-10,,"compress, convert, lazy load, resize, webp",,6.6,6.9.4,official,,
plugin,top,62,All-In-One Security (AIOS) – Security and Firewall,all-in-one-wp-security-and-firewall,1000000,94,4.7,Editor-agnostic,2026-03-25 10:40am GMT,https://wordpress.org/plugins/all-in-one-wp-security-and-firewall/,https://github.com/wp-plugins/all-in-one-wp-security-and-firewall,https://wordpress.org/plugins/all-in-one-wp-security-and-firewall/,43,0,6.1,,Medium,,CWE-200; CWE-22; CWE-352; CWE-552; CWE-639; CWE-79; CWE-89,2024-12-28,,"Malware Scanning, firewall, login security, security, two factor authentication",,5.0,7.0,mirror,,
plugin,top,63,Security Optimizer – The All-In-One Protection Plugin,sg-security,1000000,90,4.5,Editor-agnostic,2026-01-15 9:21am GMT,https://siteground.com,https://github.com/common-repository/sg-security,https://wordpress.org/plugins/sg-security/,5,1,9.8,,Critical,,CWE-285; CWE-288; CWE-862; CWE-89,2025-12-16,,"firewall, login, malware scanner, security, web application firewall",,4.7,6.9.4,mirror,,
plugin,top,64,WP Multibyte Patch,wp-multibyte-patch,1000000,100,5.0,Editor-agnostic,2025-12-01 9:45pm GMT,https://eastcoder.com/code/wp-multibyte-patch/,https://github.com/common-repository/wp-multibyte-patch,https://wordpress.org/plugins/wp-multibyte-patch/,0,0,,,,,,,,"Japanese, i18n, multibyte, wp-multibyte-patch",,5.2,6.9.4,mirror,,
plugin,top,65,Redux Framework,redux-framework,1000000,88,4.4,Editor-agnostic,2026-03-25 7:32pm GMT,https://wordpress.org/plugins/redux-framework,https://github.com/reduxframework/redux-framework,https://wordpress.org/plugins/redux-framework/,10,0,7.2,,High,,CWE-200; CWE-280; CWE-434; CWE-760; CWE-863,2024-07-23,,"admin, options, options framework, plugin options, theme options",,5.0,7.0,official,,
